Manufacture Part Number,Description,Order Qty.,Unit Price,Order Price
DMN2056U-7,"20V 4A 940mW 38mΩ@4.5V,3.6A N Channel SOT-23  MOSFETs ROHS",1000,0.0641,64.1
X322524MOB4SI,24MHz 12pF ±10ppm SMD3225-4P  Crystals ROHS,300,0.0489,14.67
FRC0603J160 TS,100mW Thick Film Resistors ±100ppm/℃ ±5% 16Ω 0603  Chip Resistor - Surface Mount ROHS,3000,0.0007,2.1
CYPC817(B-TP2),"80V 5000V 50mA 0.1V@5mA,2mA 1 6V 1.2V DC SOP-4-2.54mm  Optocouplers - Phototransistor Output ROHS",1000,0.0308,30.8
DC-470-2.1GP,Shrouded DC Power Receptacle -40℃~+55℃ 2.1mm 6.3mm 500mA 30V Plugin  AC/DC Power Connectors ROHS,100,0.0601,6.01
FRC0603F1001TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS,20000,0.0005,10
TCC0603X7R104K500CT,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,20000,0.0011,22
SM4007PL,1A 1kV 1.1V@1A SOD-123FL  Diodes - General Purpose ROHS,9000,0.0042,37.8
HK4100F-DC3V-SHG," DIP,10.5x14.5mm  Power Relays ROHS",200,0.2362,47.24
FSS2302S,"20V 2.5A 1000mW 55mΩ@4.5V,3.6A N Channel SOT-23(TO-236)  MOSFETs ROHS",9000,0.01,90
XKSIM-003-P7,Copper Alloy Self bomb Gold plating 1.5mm Deck -40℃~+85℃ 260℃ MicroSIM card SMD  SIM Card Connectors ROHS,1000,0.2689,268.9
MCS0630-100MN1,4A 10uH ±20% SMD  Power Inductors ROHS,1000,0.0467,46.7
MTP125-1204S1,"Straight Square Pins 2.5mm 8P 6mm -40℃~+105℃ 3mm 2.54mm 双排 Black Brass 2x4P 2.54mm Plugin,P=2.54mm  Pin Headers ROHS",1000,0.0244,24.4
YD3082EESA,transceiver 1Mbps 1/1 SOP-8  RS-485/RS-422 ICs ROHS,2500,0.1079,269.75
BWSMA-KWE-Z001,1 Inner bore SMA Board Edge Bend 12.4GHz 50Ω 5.3mm Plugin  RF Connectors / Coaxial Connectors ROHS,1000,0.2435,243.5
FRC0603F1802TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 18kΩ 0603  Chip Resistor - Surface Mount ROHS,10000,0.0006,6
FRC0603F6802TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 68kΩ 0603  Chip Resistor - Surface Mount ROHS,10000,0.0005,5
CL31A106KAHNNNE,25V 10uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,6000,0.0136,81.6
920-462A2021S10108,USB 2.0 1 5P Female Mini-B SMD  USB Connectors ROHS,1000,0.063,63
XL-304SURC,"Colorless transparence 615nm~620nm -25℃~+85℃ Red 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",2000,0.0137,27.4
BH-123A-A5BJ002,Battery case CR123A -  Battery Connectors ROHS,160,0.4073,65.17
STM32G030K8T6,64KB 2V~3.6V ARM Cortex-M0 8KB 64MHz FLASH 30 LQFP-32(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,250,0.4789,119.73
R-RJ11R06P-A800,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,1000,0.1035,103.5
HV1A337M0607PZ,"10V 330uF SMD,D6.3xL7.7mm  Solid Capacitors ROHS",1000,0.0912,91.2
FRC0603F3302TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 33kΩ 0603  Chip Resistor - Surface Mount ROHS,5000,0.0005,2.5
PBY160808T-471Y-N,0.15Ω ±25% 470Ω@100MHz 0603  Ferrite Beads ROHS,4000,0.0029,11.6
FRC0603F16R0TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 16Ω 0603  Chip Resistor - Surface Mount ROHS,2000,0.0007,1.4
