LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C189750,R-RJ11R06P-A800,Ckmtw(Shenzhen Cankemeng),,Plugin,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,YES,500,5\5,0.103500,51.75
C189747,R-RJ11R06P-A801,Ckmtw(Shenzhen Cankemeng),,Plugin,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,YES,500,5\5,0.101200,50.60
C103662,RTT03472JTP,RALEC,,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 4.7kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,20000,100\100,0.000500,10.00
C385254,MCS0630-100MN1,PSA(Prosperity Dielectrics),,SMD,4A 10uH ±20% SMD  Power Inductors ROHS,YES,3000,5\5,0.052900,158.70
C2926140,FSS2302S,FOSAN,,SOT-23,"20V 2.5A 1000mW 55mΩ@4.5V,3.6A 1.5V@250uA N Channel SOT-23  MOSFETs ROHS",YES,3000,50\50,0.008900,26.70
C2926138,FSS2301S,FOSAN,,SOT-23,"20V 2.3A 700mW 90mΩ@4.5V,1.5A 0.62V@250uA P Channel SOT-23  MOSFETs ROHS",YES,9000,50\50,0.007700,69.30
C71370,WJ2EDGK-5.08-2P,Ningbo Kangnex Elec,,P=5.08mm,2 1 5.08mm 1x2P Green Plug P=5.08mm  Pluggable System Terminal Block ROHS,YES,1500,5\5,0.072300,108.45
C3697,WJ2EDGRC-5.08-2P,Ningbo Kangnex Elec,,"Push-Pull,P=5.08mm","2 Bend 1 5.08mm 1x2P Green Board Edge/Receptacle-Close Push-Pull,P=5.08mm  Pluggable System Terminal Block ROHS",YES,1500,10\10,0.020700,31.05
C8404,WJ126V-5.0-2P,Ningbo Kangnex Elec,,"Plugin,P=5mm","1x2P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 2 Plugin,P=5mm  Screw terminal ROHS",YES,1000,5\5,0.042600,42.60
C8401,WJ126V-5.0-3P,Ningbo Kangnex Elec,,"Plugin,P=5mm","1x3P 18A -40℃~+105℃ 250V Green 14~26 Straight 5mm 2.5 1 3 Plugin,P=5mm  Screw terminal ROHS",YES,500,5\5,0.065700,32.85
C478888,C0603B104K500NT,TORCH,,0603,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20000,25\25,0.001100,22.00
